HP2;Chaufferie multi HP;Nom Groupe;Nombre de logements;Date de construction;Adresse;Adresse (suite);Code Postal;Ville;Type combustible;Code site;Site;Type d'équipement;Equipement;Commentaire;Marque;Modèle;Puissance;Sous-station chauffage (numéro équipement);Présence Cogénération;Date de mise en service / Date de rénovation;Sonde extérieure avec régulation;Panneaux solaire photovoltaique;Thermique;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération
113E1;;EDISON 24/28;98;01/06/1962;Edison (avenue ) n° 24/26/28;;75013;PARIS;CPCU;CHF0000159;24 AV EDISON;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU;X 2;BAELZ;ECHANGEUR DE CHALEUR VAPEUR/EAU WBS 106-37-45-CU;500;;;01/01/1990;OUI;;;Réhabilitation d’un poste de livraison de chaleur d’un bâtiment résidentiel;03/12/2020;24 avenue Edison;;;
117E2;;EPINETTES 27;43;01/07/1934;27 rue des Epinettes;;75017;PARIS;Gaz;CHF0000175;27 RUE EPINETTES;CHAUDIERE;CHAUDIERE;X 2;WEISHAUPT;CHAUDIERE WTC-GB210-A;210;;;06/06/2009;OUI;;;;;;;;
102BA;;BANQUE 24;18;10/06/2013;24-26 Rue de la Banque;5 Place de la Bourse;75002;PARIS;CPCU;CHF0000641;24/26 RUE DE LA BANQUE;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU;X 1;CTT;ECHANGEUR CPCU HELICOTHERM HT/90;170 KW;;;01/01/2013;OUI;;;;;;;;
102MO;;MONTMARTRE 130/134;26;01/01/1750;Montmartre (rue ) n° 130/134;;75002;PARIS;Electricité;CHF0000507;130/132 RUE MONTMARTRE;BALLON DE STOCKAGE ECS;BALLON ECS;X 1;;BALLON ECS 2000 LITRES;20;;;01/01/1999;OUI;;;PLAN CLIMAT;15/12/2015;;;;
102UZ;;UZES 7;8;01/01/1880;7 rue d'Uzès;;75002;PARIS;Gaz;CHF0000532;7 RUE D'UZèS;CHAUDIERE;CHAUDIèRE GAZ;X 1;UNICAL MODAL;CHAUDIèRE GAZ MD 140;155 KW;;;01/01/2005;OUI;;;;;;;;
104AB;;AUBRY LE BOUCHER  4;62;01/01/1974;4 Aubry le Boucher;;75004;PARIS;CPCU;CHF0000229;4 RUE AUBRY LE BOUCHER;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU;X 1;COLLARD TROLART;ECHANGEUR DE CHALEUR VAPEUR/EAU MICROVAP 32;900 KW;;;01/01/2004;OUI;;;;;;;;
104BG;;BEAUBOURG 2;20;31/01/2014;Beaubourg (rue ) n° 2;;75004;PARIS;CPCU;CHF0000656;2 RUE BEAUBOURG;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU;X 2;BAELZ;ECHANGEUR CPCU 106-7-45-KN;90 KW;;;01/01/2005;OUI;;;;;;;;
104CB;;STE CROIX BRETONNERIE;22;22/07/2012;48bis-50 r Ste Croix Bretonnerie;13A rue du Plâtre;75004;PARIS;Gaz;CHF0000691;48BIS-50 RUE SAINTE CROIX DE LA BRETONNERIE. 13/A, RUE DU PLâTRE;CHAUDIERE;CHAUDIèRE GAZ à CONDENSATION;X 2;GUILLOT;CHAUDIèRE GAZ à CONDENSATION CONDENSINOX;80 KW;;;01/01/2011;OUI;OUI;;;;;;;
104CR;;CRILLON 2;43;01/01/1969;2 rue Crillon;;75004;PARIS;CPCU;CHF0000665;2 RUE CRILLON;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR CPCU;X 2;CTD;ECHANGEUR CPCU HELICOTHERM 90-22;250 KW;;;01/01/2011;OUI;;;REHABILITATION ET PLAN CLIMAT;01/03/2014;;;;
104EM;;EDMOND MICHELET 1/7;16;01/04/1985;4 Edmond Michelet;22 Quincampoix;75004;PARIS;CPCU;CHF0000227;4 PLACE EDMOND MICHELET;ECHANGEUR DE CHALEUR VAPEUR/EAU;ECHANGEUR DE CHALEUR VAPEUR/EAU;X 1;COLLARD TROLART;ECHANGEUR DE CHALEUR VAPEUR/EAU MICROVAP 2;250 KW;;;01/01/2004;OUI;;;PLAN CLIMAT;15/12/2022;;;;
