DONNEES PATRIMONIALES;;;;;;;;;;;;EQUIPEMENTS INDIVIDUELS GAZ;;;;;;;;;; EQUIPEMENTS COLLECTIFS ;;;;; Modèles des chaudières ; Radiateurs électriques ; Panneaux solaires photovoltaique ; Thermiques ;DONNEES TRAVAUX IMMEUBLE;;;;;;;
;;;;;;;;;;;;Chaudières standard ou Basse Température raccordées sur ;;;;Chaudières à condensation raccordées sur:;;;;Autres;;;;;;;;;;;;;;;;;;
HP2;Nom du groupe;Nombre de logements;Date de construction;Adresse;Code postal;Ville;DT;Nb d'équipements individuels gaz;Nb d'équipements collectifs;"Années (chaudières & chauffe-bains)
à titre indicatif";Années rempl des caissons;Conduit de fumées; Ventouse;DSC;3CE;Conduit tubé condens.;Ventouse;3CE;Solaire ventouse;"Chauffe-eau gaz / 
Chauffe bain gaz";Radiateur gaz; VMC Sanitaire ;" VMC individuelle /
Tourelles "; Astato mécanique ; VMC Gaz ; Conduit 3CE ;;;;;P3R;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;
111AM;AMELOT 130;36;00/01/1900;130 rue Amelot;75011;PARIS;NE;36;1;2011;;;;;;;36;;;;;1;;;;;THEMAPLUS CONDENS;;;;;;;;;;;
111B5;BASFROI 41              ;2;01/01/1840;Basfroi ( rue  ) n° 41;75011;PARIS;NE;2;0;2021;;;;;;;2;;;;;;;;;;ATLANTIC NAIA 2 MICRO 25;;;;2021;;;;;;;
111BE;PAULBERT9;19;01/01/1880;9 rue Paul Bert;75011;PARIS;NE;5;1;2011;;;;;;;5;;;;;1;;;;;THEMAPLUS CONDENS;;;;;;;;;;;
111C1;189 CHARONNE;23;01/01/1907;189 rue de Charonne;75011;PARIS;NE;23;1;2016;;;;;;;23;;;;;1;;;;;;;;;;;;;;;;
111C3;CHARONNE 32/34;18;01/01/1895;32/34 rue de Charonne;75011;PARIS;NE;18;0;2015;;;;;;;18;;;;;;;;;;ISOTWIN CONDENS;;;;;;;;;;;
111CH;CHARONNE 63;8;01/01/1850;63 rue de Charonne;75011;PARIS;NE;7;0;2016;;;;;;2;5;;;;;;;;;;THEMAFAST CONDENS F25+ 2 tubages conduit;;;;2016;Chaudière individuelle haute performance énergétique;03/08/2016;63 RUE DE CHARONNE;;;;
111CM;CHEMIN VERT 35          ;22;01/01/1910;"35 rue Chemin Vert
2 rue Moufle";75011;PARIS;NE;7;0;2015;;;6;;;;;;;1;;;;;;;;;;;;;;;;;;
111CP;CHANZY30/30BIS;19;16/02/2007;30/30BIS rue Chanzy;75011;PARIS;NE;20;1;2007;;;20;;;;;;;;;1;;;;;;;;;;;;;;;;
111FR;FOLIE REGNAULT 20;60;01/03/1955;18/20 rue de la Folie Regnault;75011;PARIS;NE;60;6;2022;;;2;;;;58;;;;;6;;;;;ATLANTIC NAIA 2 MICRO 25;;;;2022;Chaudière   individuelle   à    haute   performance énergétique;31/12/2022;18-20 rue de la Folie Regnault;;;;
111GP;GRAND PRIEURE 4;17;01/01/1840;4 rue du Grand Prieuré;75011;PARIS;NE;8;1;2022;;;;;;;8;;;;;1;;;;;ATLANTIC NAIA;;;;2022;Chaudière   individuelle   à    haute   performance énergétique;16/12/2022;4 rue du Grand Prieure;;;;
111LA;LAPPE 45;6;01/01/1850;45 Lappe;75011;PARIS;NE;6;0;2015;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
111M2;MORET 22/26;25;01/02/1998;22/26 Moret;75011;PARIS;NE;25;2;2012;;;25;;;;;;;;;2;;;;;;;;;;;;;;;;
111P4;PHILIPPE AUGUSTE 13BIS;23;01/01/1890;13BIS avenue Philippe Auguste;75011;PARIS;NE;13;0;2019;;8;3;;;;;;;2;;;;;;;Themafast condens;;;;2019;;;;;;;
111PB;PAUL BERT CESSELIN AMEUB;43;16/03/2007;"12 rue Paul Bert
3/5 impasse";75011;PARIS;NE;41;13;2007;;;;;41;;;;;;;6;;;;7;;;;;;;;;;;;
111R9;CHARLES DALLERY 27/29;21;18/03/2001;27/29 passage Charles Dallery;75011;PARIS;NE;21;1;2017;1 Caisson en 2017;;4;;;;17;;;;;1;;;;;;;;;2017;Chaudière individuelle haute performance énergétique;14/09/2016;90/90BIS RUE DE LA ROQUETTE;;;;
111RO;ROQUETTE-RANVIER-FOLIE R;317;01/01/1931;"170/176 Roquette
1/4 Henri Ranvier";75011;PARIS;NE;311;0;1999 - plan climat 2015;;198;109;;;;2;;;2;;;;;;;;;;;;REHABILITATION ET PLAN CLIMAT;15/06/2025;;;;;
111S9;SAINT SEBASTIEN 9;34;01/01/1850;9 rue Saint Sébastien;75011;PARIS;NE;34;0;2019;;34;;;;;;;;;;;;;;;;;;;2019;;;;;;;
111TB;CITE DES 3 BORNES 6;12;01/01/1850;6 cité des Trois Bornes;75011;PARIS;NE;12;0;2008;;;12;;;;;;;;;;;;;;URBIA;;;;2023;;;;;;;
111VE;CHEMIN VERT 120;15;09/03/2013;120 rue du Chemin Vert;75011;PARIS;NE;14;0;2013;;;;;;;14;;;;;;;;;;THEMAPLUS CONDENS;;;;;;;;;;;
111VM;VILLAMARCES;10;31/10/2016;21 villa Marcès;75011;PARIS;NE;10;3;2015;;;;;10;;;;;;;1;;;;2;MIRA GREEN;;;;;;;;;;;
111VO;VOLTAIRE 263;29;01/01/1865;263 rue Voltaire;75011;PARIS;NE;23;0;2009;;;23;;;;;;;;;;;;;;THEMAPLUS F25;;;;2023;;;;;;;
112AN;ARNOLD NETTER-SAHEL     ;147;01/12/1951;1 avenue du Docteur Arnold Netter;75012;PARIS;ES;16;0;2019;;16;;;;;;;;;;;;;;;;;;;;;;;;;;
112B3;BARON LE ROY 31/35;45;30/10/1996;31/35 Baron le Roy;75012;PARIS;ES;45;3;2011;;;44;;;;1;;;;;3;;;;;;;;;;;;;;;;
112B4;BARON LE ROY 39/43;57;03/03/1997;39/43 Baron le Roy;75012;PARIS;ES;57;3;2011;;;55;;;;2;;;;;3;;;;;;;;;;;;;;;;
112BL;BRECHE AUX LOUPS 46;24;01/01/1930;46 Brèche aux Loups;75012;PARIS;ES;17;0;2020;;;;;;;17;;;;;;;;;;Chaffoteaux Nexia 25FF;;;;2020;;;;;;;
112CD;CLAUDE DECAEN 10/12;147;16/02/1932;10/12 Claude Decaen;75012;PARIS;ES;147;0;2016;;142;3;;;;2;;;;;;;;;;INOA EVO 25 CF;;;;2016;;;;;;;
112GC;G CONTENOT-C DECAEN;485;01/06/1955;1/9 2/8 Georges Contenot;75012;PARIS;ES;6;1;2014 - plan climat 2016;;;6;;;;;;;;;1;;;;;;;;;;"Chaudière basse température avec contrat d'exploitation

PLAN CLIMAT";"30/05/2014

15/11/2021";46 rue de la Brèche aux Loups;;;;
112GW;GRAVELLE-WATTIGNIES;66;01/07/1955;8/16 rue de Gravelle;75012;PARIS;ES;66;6;2022;;;;;;;66;;;;;6;;;;;ATLANTIC NAIA 2 MICRO 25;;;;2022;Chaudière   individuelle   à    haute   performance énergétique;29/07/2022;8 -16 rue de Gravelle;;;;
112LC;LACHAMBEAUDIE;19;01/01/1900;1 place Lachambeaudie;75012;PARIS;ES;13;0;nc;;7;;;;;6;;;;;;;;;;;;;;;;;;;;;
112MB;MICHEL BIZOT 64;23;01/01/1920;64 ave du Général Michel Bizot;75012;PARIS;ES;3;0;2011;;2;;;;;1;;;;;;;;;;;;;;;;;;;;;
119KA;ALPHONSE KARR;482;01/08/1932;9/37 22/36 Alphone Karr;75019;PARIS;NE;485;25;2015 DDR raccord CPCU ?;;;;;;;485;;;;;25;;;;;;;;;;"Chaudière individuelle haute performance énergétique

REHABILITATION ET PLAN CLIMAT";"30/10/2015

15/09/2027";5-37 /22-36 rue Alphonse Karr;;;;
119NS;NANTES 23/29;51;25/07/2007;23/29 rue de Nantes;75019;PARIS;NE;51;3;2022;;;1;;;;50;;;;;3;;;;;;;;;2022;Chaudière   individuelle   à    haute   performance énergétique;31/12/2022;23-29 rue de Nantes;;;;
120BP;BELLEVILLE-PELLEPORT;77;01/11/1955;169 rue Pelleport;75020;PARIS;ES;77;5;2014;;;77;;;;;;;;;5;;;;;;;;;;Chaudière individuelle basse température;10/12/2014;169 rue Pelleport;;;;
