GROUPE (HP2);NOM GROUPE;BATIMENTS (HP3);Adresse;Code postal;Ville;Date de construction;Date de mise en service;Nb d'escaliers (HP4);Nb de lots;Nb de logements;Nb d'ateliers;Nb de parkings;Nb de commerces;Surface utile SUT;Surface habitable SHAB;Surface réelle SRE;Surface réelle commerces;Surface chauffée SCH
107PV;PGEVIERGE1;01;1TER passage de la Vierge;75007;PARIS;18/12/2014;15/02/2019;1;20;20;0;0;0;1 322;1 301;1 301;1 434;1 301
107OU;IMPASSE OUDINOT 4/6;01;4/6 impasse  Oudinot;75007;PARIS;20/02/2014;18/10/2016;1;67;66;0;0;0;3 495;3 429;3 429;3 615;3 429
110BI;BICHAT 1/9;01;;;;;01/01/1940;0;0;0;0;0;0;0;0;0;0;0
109CQ;COQ3;01;3 avenue du Coq;75009;PARIS;;19/07/2016;3;30;29;0;0;0;1 658;1 583;1 583;1 748;1 583
104QH;Henri IV 14/16;03;14 quai  Henri IV;75004;PARIS;15/09/2015;15/09/2015;1;21;21;0;0;0;1 360;1 252;1 252;1 467;1 252
104R1;ROSIERS10;01;10 rue des Rosiers;75004;PARIS;;21/03/2013;1;4;3;0;0;0;129;118;118;139;0
104QH;Henri IV 14/16;PKC1;10BIS quai  Henri IV;75004;PARIS;15/09/2015;15/09/2015;0;53;0;0;53;0;0;0;0;709;0
110EC;ECHIQUIER3;01;3 rue de l' Échiquier;75010;PARIS;;20/11/2015;4;13;10;0;0;3;554;552;552;823;0
105LC;LACEPEDE 16/18;PKA1;18 rue  Lacépède;75005;PARIS;11/05/1963;11/05/1963;0;19;0;0;19;0;0;0;0;11;0
105J2;SAINT JACQUES 275;02;275 rue  Saint Jacques;75005;PARIS;;01/03/1983;1;4;4;0;0;0;0;98;98;98;0
105J2;SAINT JACQUES 275;01;275 rue  Saint Jacques;75005;PARIS;;01/03/1983;2;8;7;0;0;1;0;218;218;257;0
111TB;CITE DES 3 BORNES 6;01;6 cité des Trois Bornes;75011;PARIS;;12/07/2010;2;13;12;0;0;1;616;616;616;745;0
H04PO;2 PONTS 16/20;01;16/20 rue des Deux Ponts;75004;PARIS;01/01/1970;01/01/2006;2;2;0;0;0;2;0;0;0;160;0
111CL;CARRIERE MAINGUET5/9;PKC1;7 rue  Carrière-Mainguet;75011;PARIS;01/01/1985;23/12/2009;0;41;0;0;41;0;0;0;0;492;0
1PELL;PELLEPORT 160 RIVP;RIVP;160 rue  Pelleport;75020;PARIS;01/01/1970;01/07/2017;0;0;0;0;0;0;0;0;0;0;0
109RC;ROCHECHOUART 53;01;53 boulevard de Rochechouart;75009;PARIS;;01/02/2008;3;13;11;0;0;2;820;760;760;1 031;0
107VA;VANEAU 81TER;01;81TER rue  Vaneau;75007;PARIS;15/04/2014;31/03/2014;1;14;14;0;0;0;804;782;782;882;782
110CB;CHALET - BUISSON ST LOUI;01;1 rue du Chalet;75010;PARIS;01/08/1994;01/09/1994;10;103;98;0;0;4;0;6 536;6 536;7 599;5
110BI;BICHAT 1/9;03;;;;;01/01/1940;10;0;0;0;0;0;0;0;0;0;0
110FA;FAUBOURG DU TEMPLE 43;01;;;;;01/01/1940;3;0;0;0;0;0;0;0;0;0;0
110FM;FAUBOURGSTMARTIN197;02;197 rue du Faubourg Saint Martin;75010;PARIS;01/01/1900;06/09/2013;3;20;18;0;0;2;623;586;586;895;30
104QH;Henri IV 14/16;01;11 boulevard  Morland;75004;PARIS;15/09/2015;15/09/2015;1;26;26;0;0;0;1 873;1 769;1 769;1 976;1 769
110FC;FAUBOURG DU TEMPLE 45;01;45 rue du Faubourg du Temple;75010;PARIS;;01/01/1940;8;0;0;0;0;0;0;0;0;0;0
105LH;LHOMOND 45;C;45 rue  Lhomond;75005;PARIS;;01/09/2000;3;3;2;0;0;1;91;91;91;183;0
105LC;LACEPEDE 16/18;01;16 rue  Lacépède;75005;PARIS;11/05/1963;11/05/1963;1;26;24;0;0;0;0;1 176;1 176;1 247;1 176
105LH;LHOMOND 45;B;45 rue  Lhomond;75005;PARIS;;01/09/2000;1;1;1;0;0;0;69;69;69;69;0
115SB;ST CHARLES 170 BERGERS55;B;170 rue  Saint Charles;75015;PARIS;04/08/1977;01/01/2007;2;36;33;0;0;0;1 985;1 840;1 840;2 138;1 840
102BA;BANQUE 24;01;24/26 rue de la Banque;75002;PARIS;10/06/2013;14/02/2017;3;20;18;0;0;2;1 141;1 056;1 056;1 571;1 056
111CL;CARRIERE MAINGUET5/9;PKC2;35 rue  Émile Lepeu;75011;PARIS;01/01/1985;23/12/2009;0;51;0;0;51;0;0;0;0;678;0
103BT;TEMPLE 23 BLD;03;23 boulevard du Temple;75003;PARIS;;09/01/2015;5;17;12;0;0;4;0;0;0;0;0
103BT;TEMPLE 23 BLD;02;23 boulevard du Temple;75003;PARIS;;09/01/2015;2;12;10;0;0;1;0;0;0;0;0
110BI;BICHAT 1/9;04;;;;;01/01/1940;5;0;0;0;0;0;0;0;0;0;0
108CH;CHAMBIGES 6;01;6 rue  Chambiges;75008;PARIS;;01/07/2010;3;15;15;0;0;0;1 199;1 133;1 133;1 265;0
111P5;PHILIPPE AUGUSTE 45/53;PKE1;43/45 avenue  Philippe-Auguste;75011;PARIS;01/01/1968;01/11/2009;0;6;0;0;6;0;0;0;0;72;0
111JT;TIMBAUD21;AC01;21 rue  Jean-Pierre Timbaud;75011;PARIS;;15/12/2014;0;0;0;0;0;0;0;0;0;0;0
110FD;FAUBOURG DU TEMPLE 43;01;45 rue du Faubourg du Temple;75010;PARIS;;01/01/1940;8;0;0;0;0;0;0;0;0;0;0
113AR;ARAGO48 GLACIERE28;01;28 rue de la Glacière;75013;PARIS;;01/10/2008;4;22;19;0;0;3;888;851;851;1 125;0
104QH;Henri IV 14/16;02;16 quai  Henri IV;75004;PARIS;15/09/2015;15/09/2015;1;24;23;0;0;0;1 646;1 539;1 539;1 768;1 539
113AV;148 AURIOL CROUS;01;148/150 boulevard  Vincent Auriol;75013;PARIS;01/01/1930;09/06/2010;1;16;0;0;0;0;826;821;0;830;821
113SR;SOEUR ROSALIE 4;01;4 avenue de la Soeur Rosalie;75013;PARIS;01/01/1905;01/07/2010;3;33;31;0;0;1;1 701;1 582;1 582;1 844;0
105LH;LHOMOND 45;A;45 rue  Lhomond;75005;PARIS;;01/09/2000;1;2;2;0;0;0;110;98;98;121;0
113BQ;BLANQUI 101-105;PKC1;101/105 boulevard  Auguste Blanqui;75013;PARIS;01/01/1970;10/05/2022;0;91;0;0;91;0;0;0;0;1 018;0
115SB;ST CHARLES 170 BERGERS55;PKC1;55 rue des Bergers;75015;PARIS;04/08/1977;01/12/2021;0;51;0;0;51;0;0;0;0;149;0
111CL;CARRIERE MAINGUET5/9;02;12/14 rue  Carrière-Mainguet;75011;PARIS;01/01/1985;23/12/2009;2;27;27;0;0;0;2 009;1 927;1 927;2 172;1 927
111CL;CARRIERE MAINGUET5/9;03;35 rue  Émile Lepeu;75011;PARIS;01/01/1985;23/12/2009;2;17;16;0;0;1;1 224;1 150;1 150;1 685;1 150
111C7;CHEMIN VERT 127;01;127 rue du Chemin Vert;75011;PARIS;02/12/2013;24/01/2014;1;15;15;0;0;0;1 016;977;977;1 115;977
103BT;TEMPLE 23 BLD;01;23 boulevard du Temple;75003;PARIS;;09/01/2015;2;10;8;0;0;1;0;0;0;0;0
112RD;REUILLY20 DIDEROT75;04;20 rue de Reuilly;75012;PARIS;;01/04/2014;0;0;0;0;0;0;0;0;0;0;0
