Code HP2;Nom du groupe ;Adresse;Surface totale de capteurs;Nb de capteurs;Type de capteurs;Inclinaison [°/hor];Orientation [°/Sud];Etat de l'installation;;
117BP;BARRE BOREL;3 rue Emile Borel ;122;80;Mono-SI;0°; Sud;En fonctionnement;;
110BT;BICHAT TEMPLE;9 rue Bichat;154,93;95;Mono-SI;30°;25° Sud-Ouest;En fonctionnement;;
118BN;BINET LOT 2 (absence PV);118 Boulevard Ney;;;;;;;;
113BN;BOURGON;25 rue Bourgon;62;39;;10°;0°;En fonctionnement;;
104CB;BRETONNERIE;50 rue Sainte Croix Bretonnerie;40,4;30;;20°;65°Sud-Est;Raccordé A l'arrêt;;
117C1;CARDINET CHALABRE;153 rue Cardinet;356,28;219;Mono-SI;7° et à plat;30° Sud-Ouest;En fonctionnement (avec quelques défauts);;
118DE;ENERSTINE (DUPLOYE);10 rue Ernestine;24,4;15;P-SI;30°;0°;Raccordé A l'arrêt;;
113DA;FOYER DAVIEL;29-31 rue Daviel;423;180;P-SI;90°;20°;En fonctionnement;;
117B1;GILBERT CESBRON (ZAC Clichy Batignolle);12 34 Gilbert Cesbron;446,85;274;;;;Non raccordé;;
115LB;LEFEBVRE BRANCION PERICHAUX BAT D ;9 rue Périchaux;115;60;P-SI;60°;13° Sud-Est 16° Sud-Ouest (BAT D) ;En fonctionnement;;
115LB;LEFEBVRE BRANCION PERICHAUX BAT EF;119 boulevard Lefebvre ;175;90;P-SI;60°;7° Sud-Ouest et Sud; En fonctionnement ;;
115S3;MARIE SKOBTSOV (LOURMEL);14/18/20 rue Marie-Skobtsov;;;;;;Raccordé;;
119M4;MAROC;12 à 16 rue du Maroc;;44;;40°;47° et 33° Sud-Ouest;En fonctionnement;;
118M3;MYRHA;19/23 rue Myrha;69,08;;P-SI;;;Raccordé Pas de production;;
111T1;OBERKAMPF (JP TIMBAUD);137-139 rue Oberkampf;;89;;25°;57° Sud-Ouest;Raccordé A l'arrêt (27/10/2021);;
119IS;PERIGUEUX-INDOCHINE-SERURIER;4 rue de Périgeux;;46;;30°;0°;En fonctionnement;;
117RE;PIERRE REBIERE (Lot A) BAT 08 et BAT 09 (Lot B);10/72 rue Pierre Rebière;99 (Lot A) 35 (Lot B);;P-SI;;;Non raccordé;;
116SU;SUCHET (PORTE D'AUTEUIL);107 Boulevard Suchet;146;89;P-SI;27°;57° Sud-Ouest;Non raccordé (en cours);;
118PM;PORTE MONTMARTRE;16-30 avenue de la Porte de Montmartre ;58;90;;13°;0°;En fonctionnement;;
112ST;SAINT-MANDE;16 avenue de Saint Mande;123,5;84;P-SI;25°;7° Sud-Ouest et Sud;En fonctionnement;;
118SO;SAINT-OUEN BAT A ET B;30 avenue de la Porte de Saint Ouen;125 (BAT A) 107 (BAT B);;Mono-SI;;;Raccordé;;
113SB;SIMON BERLIER;bd Jean Simon - pass. Pelletier Rue Jean Baptiste Berlier;;;;;;Non raccordé;;
114PE;VERCINGETORIX / PERNETY;93 rue Pernety ;6,7;4;Mono-SI;10°;0°;En fonctionnement;;
112RV;VILLIOT RAPEE LOT 6 ET 7;15-19 rue du Villiot;123,5;84;P-SI;25°;7°Sud-Ouest et Sud;Raccordé;;
113LW;ZAC MASSENA M3E2 (FRANCOIS DOLTO);10/14 rue Marie-Andrée Lagroua W 22/28 rue Hélène Brion;74;;;;;Non raccordé;;
117MR;ROSTROPOVITCH ;30/38 Rue Mstislav Rastropovitch ;;;;;;Non raccordé;;
;;;;;;;;;;
;;;;;;;;;;
