Code HP2;Nom ;Adresse;Nb de logement;Surface totale des capteurs (m2);Nb de capteurs ;Type de capteurs;Inclinaison  [°/hor];Orientation;Etat des lieux ;;
113PC;Porte de Choisy;5/7 avenue de Porte de Choisy;149;236;;Type C8/8HI Giordano;60°;10°Sud;Installation neuve sur bâtiment existant;;
114PA;Jean Moulin;53/63 rue des Plantes;383;947,5;;Marque Viessmann de type Vitosol;;;;;
115LF;Lettelier;36/38 rue Lettelier;30;60;;Type C8/8HI Giordano;45°;Sud;;;
117SP;Saussure;132/134 rue de Saussure;172;232;;;;;Rénovation complète;;
119TU;Turot;26 rue Henri Turot;36;37,12;16;Marque Viessmann de type Vitosol;45°;10°Sud-Ouest;;;
113T5;Patay;67 rue de Patay;35;100;;;45°;25°Sud;;;
119IA;Inspecteur Alles;6 rue de l'Inspecteur Alles;100;81;;;;;;;
117PA;Porte d'Asnières;24 avenue de la Porte d'Asnières;148;148;;Marque Viessmann de type Vitosol;45°;20°Sud;;;
119RE;Rebeval;38/40 rue Rébeval;377;280;;Marque Viessmann de type Vitosol;;;;;
120B2;Belleville;280/290 rue de Belleville;68;115;;;;;;;
120NC;SQ du NV Belleville;1/25 Square du Nouveau Belleville;320;220;;;;;;;
112P8;Picpus;106/108 rue Picpus;63;90,87;39;Marque Viessmann de type Vitosol;60°;43° Ouest;;;
193WI;ZAC Nozal Chaudron;Avenue du Président Wilson;110;133;;;30°;Sud;;;
118GU;Impasse du Gué;4/6 Impasse du Gué;93;67,5;;Marque De Dietrich de modèle PRO C;30°;Sud;;;
119SP;Secretan Pailleron;81 rue Secretan;145;180,72;;;;;;;
117 E2;Epinettes;27 rue des Epinettes;43;55,23;22;Marque De Dietrich de modèle PRO C;30°;62° Sud Est;;;
114SR;Séré de Rivière;1/5 rue du Général Séré Rivière;366;258,53;;Marque Viessmann de type Vitosol;45°;34°;;;
111BU;Passage du Bureau;54/60 Passage du Bureau;154;;;;;;;;
110VE;Vellefaux Sambre et Meuse;32/34 avenue Claude Vellefaux;108;140;;Marque Viessmann de type Vitosol;45°;0°;;;
113VE;Vergniaud 54;54 rue Vergniaud;315;;;Marque Viessmann de type Vitosol;;;;;
119CR;Crimée Moderne;97/101 rue de Crimée;234;300;;;;;;;
114AC;Abbe Carton Plantes;63 rue de l'Abbé Carton;249;400 (à vérifier);;;;;;;
192MS;Malakoff Sud;23/35 rue Paul Vaillant-Couturier;591;160;;;;;;;
518MT;Marcadet 1-3;1 rue Marcadet;63;87,85;;;;;;;
111SD;Sedaine - ALJT Foyer;35 rue Sedaine;92 chambres;60;;;30°;32°Sud;;;
114GM;General Maitre;1/13 avenue du Général Maitre;518;;;;;;;;
112RV;Villot Rapée Lot 4;38 quai de la Rapée;332;;;;;;;;
